Año;Mes.de.choque;Rango.horario;Cantidad.de.lesionados;addresses;Coordenada.X;Coordenada.Y;lon;lat;direccion
2016;Julio;6:00 a 11:59;2;25 DE MAYO Y SAN MARTIN,Rosario,Santa Fe,Argentina;5439056,55;6347208,15;-60,6520208;-33,0157223;Av. San Martín & 25 de Mayo, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;AVELLANEDA Y BIEDMA,Rosario,Santa Fe,Argentina;5435691,175;6351887,135;-60,6878796;-32,9740804;Cnel. M. Biedma & Bv. Avellaneda, S2004 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;27 DE FEBRERO Y OROÑO,Rosario,Santa Fe,Argentina;5438422,74;6352919,97;-60,6585086;-32,9648633;Bv. 27 de Febrero & Bv. Oroño, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CASIANO CASAS Y SORRENTO,Rosario,Santa Fe,Argentina;5434910,76;6359288,38;-60,6956737;-32,9072974;Av. Casiano Casas & Av. Sorrento, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;FRANCIA 200 BIS,Rosario,Santa Fe,Argentina;5.438.094.257.610.750;6.357.250.209.544.440;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;BELGRANO Y SARGENTO CABRAL,Rosario,Santa Fe,Argentina;5440716,36;6355339,25;-60,6341066;-32,9430418;Sgto Cabral & Av. Belgrano, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CORRIENTES Y SEGUI,Rosario,Santa Fe,Argentina;5439186,74;6351434,68;-60,6506027;-32,9784104;Corrientes & Bv. Seguí, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;MARIANO MORENO Y RIOJA,Rosario,Santa Fe,Argentina;5439135,97;6355091,62;-60,6508514;-32,9453821;Rioja & Mariano Moreno, S2000 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;2;PAVON Y REGIMIENTO 11,Rosario,Santa Fe,Argentina;5440726,19;6349222,5;-60,6342235;-32,9983728;Pavón & Regimiento 11, S2011 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;DORREGO 1900,Rosario,Santa Fe,Argentina;5438971,16;6353722,26;-60,6525852;-32,9576624;Dorrego 1900, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;SALTA 3039,Rosario,Santa Fe,Argentina;5438002,47;6356249,91;-60,6629541;-32,9348151;Salta 3039, S2002JKI Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;RIVAROLA Y REP DEL SALVADOR,Rosario,Santa Fe,Argentina;5433354,62;6352785,75;-60,7128407;-32,9658117;Republic del Salvador & Av. Rivarola, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;F NETRI Y SORRENTO,Rosario,Santa Fe,Argentina;5434314,27;6359260,24;-60,7021243;-32,9075464;Netri & Av. Sorrento, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;27 DE FEBRERO Y BUENOS AIRES,Rosario,Santa Fe,Argentina;5440353,79;6352522,72;-60,6380286;-32,9685397;Buenos Aires & Bv. 27 de Febrero, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;VERA MUJICA 1450,Rosario,Santa Fe,Argentina;5437435,85;6354632,03;-60,669053;-32,9492959;Vera Mujica 1450, S2002 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;RICCHIERI Y SALTA,Rosario,Santa Fe,Argentina;5438178,02;6356228,99;-60,6610485;-32,9350335;Riccheri & Salta, S2002 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;DANTE ALIGHIERI Y OROÑO,Rosario,Santa Fe,Argentina;5438492,56;6353258,54;-60,6546173;-32,948112;Bv. Oroño 1160, S2000DSY Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;RIO DE JANEIRO Y RIOBAMBA,Rosario,Santa Fe,Argentina;5435983,62;6353953,62;-60,6846768;-32,9554533;Río de Janeiro & Riobamba, S2003 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;BELGRANO Y LAPRIDA,Rosario,Santa Fe,Argentina;5440835,1;6355162,62;-60,6327086;-32,9448251;Laprida & Av. Belgrano, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;LAVALLE Y SAAVEDRA,Rosario,Santa Fe,Argentina;5435896,17;6352245,2;-60,68573;-32,9708394;Lavalle & Saavedra, S2004 Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ALVEAR Y SAAVEDRA,Rosario,Santa Fe,Argentina;5438061,27;6351798,04;-60,6625777;-32,9749876;Alvear & Saavedra, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;RIVADAVIA Y RODRIGUEZ,Rosario,Santa Fe,Argentina;5438688,23;6356662,35;-60,6558466;-32,9311443;Rodríguez & B. Rivadavia, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;MONTECARLO Y OVIDIO LAGOS,Rosario,Santa Fe,Argentina;5436329,96;6345975,24;-60,6814911;-33,0273902;Montecarlo & Av. Ovidio Lagos, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ALVEAR,Rosario,Santa Fe,Argentina;;;-60,6185989;-33,0574351;Alvear, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;CASTINONO 900,Rosario,Santa Fe,Argentina;5435047,5;6360349,23;-60,6427204;-32,9986009;Av Bermúdez & Regimiento 11, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;ARIJON Y BALCARCE,Rosario,Santa Fe,Argentina;5438010,76;6348640,22;-60,6633225;-33,0034627;Balcarce & Av. Arijon, Rosario, Santa Fe, Argentina
2016;Julio;6:00 a 11:59;1;DONIZETTI Y SORRENTO,Rosario,Santa Fe,Argentina;5435019,63;6359286,6;-60,6946113;-32,9072462;Donizetti & Av. Sorrento, Rosario, Santa Fe, Argentina
